Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
SecondSuite,,,2018-11-03 21:43:44,2018-11-03 21:45:37,1m - 52.414s,PASSED
,,,,,,
Test Cases/InputText,,,2018-11-03 21:43:45,2018-11-03 21:44:42,56.873s,PASSED
startApplication,,,2018-11-03 21:43:45,2018-11-03 21:44:27,41.045s,PASSED
tap,,,2018-11-03 21:44:27,2018-11-03 21:44:28,1.839s,PASSED
tap,,,2018-11-03 21:44:28,2018-11-03 21:44:30,1.491s,PASSED
tap,,,2018-11-03 21:44:30,2018-11-03 21:44:31,1.049s,PASSED
tap,,,2018-11-03 21:44:31,2018-11-03 21:44:33,1.610s,PASSED
setText,,,2018-11-03 21:44:33,2018-11-03 21:44:34,1.282s,PASSED
hideKeyboard,,,2018-11-03 21:44:34,2018-11-03 21:44:36,1.794s,PASSED
tap,,,2018-11-03 21:44:36,2018-11-03 21:44:38,1.987s,PASSED
closeApplication,,,2018-11-03 21:44:38,2018-11-03 21:44:42,4.177s,PASSED
,,,,,,
Test Cases/ScrollTest,,,2018-11-03 21:44:42,2018-11-03 21:45:37,55.006s,PASSED
startApplication,,,2018-11-03 21:44:42,2018-11-03 21:45:21,39.017s,PASSED
tap,,,2018-11-03 21:45:21,2018-11-03 21:45:23,1.646s,PASSED
scrollToText,,,2018-11-03 21:45:23,2018-11-03 21:45:30,7.767s,PASSED
tap,,,2018-11-03 21:45:30,2018-11-03 21:45:32,1.554s,PASSED
tap,,,2018-11-03 21:45:32,2018-11-03 21:45:33,1.005s,PASSED
closeApplication,,,2018-11-03 21:45:33,2018-11-03 21:45:37,3.788s,PASSED
